text,category,priority,split,department,is_roman
We the residents of near the bus stop in Landhi report that sarak beth gayi hai barish ke baad. we have been waiting for a response for a while now,road,medium,test,Roads & Infrastructure,1
the main water pipe is leaking badly at Buffer Zone Lane 3. This has been the case since this morning. we have been waiting for a response for a while now. Our family has been facing this for several days now,water,medium,train,Water Supply,0
awara kutte kachra phaila dete hain. Location: near the community centre in Malir. elderly patients live in this lane and cannot step outside Kindly resolve it soon.,waste,high,train,Sanitation & Solid Waste,1
"i want to report that unannounced load shedding is running for eight hours a day in front of near the vegetable market in baldia town, and there is a government school right next to it and hundreds of children pass daily",electricity,high,train,Electricity & Streetlights,0
"gali me kooray ka bara dher lag gaya hai at near a bank branch in Gulistan-e-Johar. This has been the case since yesterday. plz look into it in the coming days. Our family has been facing this for several days now Bara meherbani ho gi, jaldi masla hal karain??!",waste,medium,train,Sanitation & Solid Waste,1
RESPECTED SIR SAFAI BILKUL NAHI HOTI YAHAN NEAR SITE AREA NEAR A MATERNITY HOME THERE IS A GOVERNMENT SCHOOL RIGHT NEXT TO IT AND HUNDREDS OF CHILDREN PASS DAILY PLEASE TAKE ACTION,waste,high,train,Sanitation & Solid Waste,1
I want to report that the pole mounted box is open and children can reach the terminals since the last monsoon at near the vegetable market in Malir. Thank you.,electricity,critical,train,Electricity & Streetlights,0
"road bilkuul toot gayi hai at Block 1-3D, Gulistan-e-Johar.",road,high,train,Roads & Infrastructure,1
"i want to report that taar latak rahi hain khambe se near block 5, siet area. we have been waiting for a response for a while now please take action. bara meherbani ho gi, jaldi masla hal karain!!!",electricity,medium,train,Electricity & Streetlights,1
"For for several months now, sweepers have not come to clean this lane around near the petrol pump in Kemari. Requesting the department to act.",waste,high,test,Sanitation & Solid Waste,0
"Assalam o alaikum, broken road with loose gravel everywhere in front of SITE Area, and our family has been facing this for several days now",road,medium,train,Roads & Infrastructure,0
Pleawe be informed that vlave wala time par valve nahi kholta at on Abul Hasan Isphahani Road since Ramzan it is a small issue but please note it for the recoord Please take action Bara meherbani ho gi jaldi masla hal karain,water,low,train,Water Supply,1
"kindly note that wires are hanging loose from the pole in front of new karachi plot 22 near a government girls school, and a motorcyclist fell and broke his arm last night",electricity,critical,train,Electricity & Streetlights,0
"Assalam o alaikum, pani bilkul nahi aa raha near Manghopir Sector 11-B. there is no urgency, plz handle it in the routine schedule. This is only a suggestion for improvement Shukriya. Again, pani bilkul nahi aa raha.",water,low,train,Water Supply,1
construction malba has been dumped on the empty plot at near the community centre in Kemari and nobody has cpme to check for two days now. we have been waiting for a response for a while now. Kinddly send someone to look at it in the next few days,waste,medium,train,Sanitation & Solid Waste,0
"kindly note that dispensary hafte me sirf do din khulti hai at near the main mosque in defence view near the school van stop, for almost a month. dengue and gastro cases have started appearing in the area shukriya.",other,high,train,General Administration,1
"At near the flyover ramp in Orangi Town near a madrassa, the public library has been closed since last year with no explanation for several months. this has become a serious health hazard for the whole area. Dengue and gastro cases have started appearing in the area",other,high,train,General Administration,0
"there is an immediate danger to human life here The reason is that the water supply timing was shifted and now nothing reaches our end of the lane, right at on Abul Hasan Isphahani Road. Again, the water supply timing was shifted and now nothing reaches our end of the lane.",water,critical,test,Water Supply,0
AT NEAR THE UNION COUNCIL OFFICE IN DHA PHASE 6 NEAR AGA KHAN HOSPITAL TRANSFORMER BAR BAR TRIP KAR RAHA HAI SINCE THE LAST MONSOON MANY FAMILIES AND CHILDREN ARE AFFECTED BY IT EVERY SINGLE DAY IT IS ON THE MAIN ROAD AND TRAFFIC JAMS FOR HOURS EVERY MORNING,electricity,high,train,Electricity & Streetlights,1
"Respected sir, broken road with loose gravel everywhere near on Maripur Road. please look into it in the coming days Please take action. Again, broken road with loose gravel everywhere.",road,medium,train,Roads & Infrastructure,0
"I want to report that the pole mounted box is open and children can reach the terminals in front of near a bank branch in Jamshed Road near a government girls school, and this has become a serious health hazard for the whole area",electricity,high,train,Electricity & Streetlights,0
"Please be informed that galli me kooray ka bara dher lag gaya hai at Sttreet 14, Malir near a maternity home, since the last monsoon. it is on the main road and traffic jams for hours every morning. There is a government school right next to it and hundreds of children pass daily Kindly resolve it soon. Bara meherbani ho gi, jaldi masla hal karain.",waste,high,train,Sanitation & Solid Waste,1
"the drain cover is broken and the sludge is exposed at on Shahrah-e-Faisal and nobody has come to check for the last three days. low priority, only mentioning it so it is on record",drainage,low,train,Drainage & Sewerage,0
the gutter has been overflowing at north nazimabad gali no 7.,drainage,critical,train,Drainage & Sewerage,0
"hospital waste has been mixed with the household garbage at near the union council office in orangi town and nobody has come to check since fridy. kindly look into it whenever a team is free aain, hospital waste has been mixed with the household garbage.",waste,low,train,Sanitation & Solid Waste,0
"hospital waste has been mixed with the household garbage at house 4-b, gulberg town near ziauddin hospital. again, hospital waste has been mized with the household garnage.",waste,critical,train,Sanitation & Solid Waste,0
"the asphalt has peeled off and the base layer is exposed at near the petrol pump in Surjani Town and nobody has come to check since yesterday. this is a minor issue, whenever it is convenient",road,low,train,Roads & Infrastructure,0
"TO THE CONCERNED DEPARTMENT, CONSTRUCTION MALBA HAS BEEN DUMPED ON THE EMPTY PLOT IN FRONT OF NEAR THE MAIN MOSQUE IN DEFENCE VIEW, AND THERE IS NO URGENCY, JUST REGISTERING IT FORMALLY. IT IS A SMALL ISSUE BUT PLEASE NOTE IT FOR THE RECORD",waste,low,train,Sanitation & Solid Waste,0
"At House 4-B, Gulistan-e-Johar near a primary school, people r burning the garbage pile and the smoke enters our homes for over two weeks. there is a government school right next to it and hundreds of children pass daily. Elderly patients live in this lane and cannot step outside",waste,high,train,Sanitation & Solid Waste,0
waste water has started seeping into the ground floor rooms at Kemari!!!,drainage,medium,train,Drainage & Sewerage,0
Kindly note that the electric pole is leaning dangerously since Friday at Lane 3 Kemari Kindly resolve it soon,electricity,medium,train,Electricity & Streetlights,0
the manhole is spilling sewage continuously at on Korangi Road.,drainage,medium,train,Drainage & Sewerage,0
"there is no electricity in our block. Location: Garden East Lane 3. this has become a serious health hazard for the whole area. It is urgent because a school is right beside it Shukriya. Again, there is no electricity in our block.",electricity,high,train,Electricity & Streetlights,0
"bijli nahi aa rahi hamare block me. Location: Sector 11-B, Federal B Area. it is a small issue but please note it for the record. This is only a suggestion for improvement Shukriya !!!!",electricity,low,train,Electricity & Streetlights,1
I want to report that khula manhole hai koi bhi gir sakta hai at Lane 3 Baldia Town for two days now it is causing inconvenience and should be fixed soon Please look into it in the coming days Please take action Bara meherbani ho gi jaldi masla hal karain,safety,medium,train,Public Safety,1
